Keyword,Volume (est. band),Difficulty (1-5),Intent,SERP features,Cluster,Cluster role,Opportunity (1-5),Strategic fit (1-5),Priority (O+F-D),Target URL,Notes
robotics huntington county indiana,Very low,1,N/I,"Wikipedia, econ-dev news, job boards",County-level robotics,primary,3,5,7,"/robotics/[county]-county/ (all 12; start-a-team framing where no team is backed)",Team: 1501
robotics allen county indiana,Very low,1,N/I,"Wikipedia, econ-dev news, job boards",County-level robotics,secondary,3,5,7,"/robotics/[county]-county/ (all 12; start-a-team framing where no team is backed)",10 teams; SERP is industrial
robotics grant county indiana,Very low,1,N/I,"Wikipedia, econ-dev news, job boards",County-level robotics,secondary,3,5,7,"/robotics/[county]-county/ (all 12; start-a-team framing where no team is backed)",Madison-Grant x2; PhyXTGears 1720 (not ours) ranks
noble county robotics,Very low,1,N/I,"Wikipedia, econ-dev news, job boards",County-level robotics,secondary,3,5,7,"/robotics/[county]-county/ (all 12; start-a-team framing where no team is backed)",East Noble x3; Industry 4.0 lab news ranks
kosciusko county robotics,Very low,1,N/I,"Wikipedia, econ-dev news, job boards",County-level robotics,secondary,3,5,7,"/robotics/[county]-county/ (all 12; start-a-team framing where no team is backed)",No backed team - start-a-team page; verify local school status
wabash robotics team,Very low,1,N/I,"Wikipedia, econ-dev news, job boards",County-level robotics,secondary,3,5,7,"/robotics/[county]-county/ (all 12; start-a-team framing where no team is backed)",No backed team - start-a-team page; verify local school status
whitley county robotics,Very low,1,N/I,"Wikipedia, econ-dev news, job boards",County-level robotics,secondary,3,5,7,"/robotics/[county]-county/ (all 12; start-a-team framing where no team is backed)",No backed team - start-a-team page; verify local school status
steuben county robotics,Very low,1,N/I,"Wikipedia, econ-dev news, job boards",County-level robotics,secondary,3,5,7,"/robotics/[county]-county/ (all 12; start-a-team framing where no team is backed)",No backed team - start-a-team page; verify local school status
allen county robotics teams,Very low,1,N/I,"Wikipedia, econ-dev news, job boards",County-level robotics,secondary,3,5,7,"/robotics/[county]-county/ (all 12; start-a-team framing where no team is backed)",
youth robotics noble county,Very low,1,N/I,"Wikipedia, econ-dev news, job boards",County-level robotics,long-tail,3,5,7,"/robotics/[county]-county/ (all 12; start-a-team framing where no team is backed)",
robotics team near me,Med,2,I/T,"PAA, FIRST team map",Find a team for my student,primary,4,5,7,/get-involved/ (Find a Team) -> dedicated /find-a-team/,Local-pack style; needs map + city names on page
how to join a first robotics team,Low,2,I/T,"PAA, FIRST team map",Find a team for my student,secondary,4,5,7,/get-involved/ (Find a Team) -> dedicated /find-a-team/,
join robotics team fort wayne,Very low,2,I/T,"PAA, FIRST team map",Find a team for my student,secondary,4,5,7,/get-involved/ (Find a Team) -> dedicated /find-a-team/,
robotics for high school students fort wayne,Low,2,I/T,"PAA, FIRST team map",Find a team for my student,secondary,4,5,7,/get-involved/ (Find a Team) -> dedicated /find-a-team/,
robotics for kids fort wayne,Low,2,I/T,"PAA, FIRST team map",Find a team for my student,secondary,4,5,7,/get-involved/ (Find a Team) -> dedicated /find-a-team/,"SERP: BGC, PFW camps, FWCS pathway"
4-h robotics indiana,Low,2,I/T,"PAA, FIRST team map",Find a team for my student,secondary,4,5,7,/get-involved/ (Find a Team) -> dedicated /find-a-team/,1501 THRUST is Huntington County 4-H
